,cond_name,exp_name,cell_id,area_mean,area_sd,change_ratio_mean,change_ratio_sd
78,bum_1d,M4_1d-post-injury_morning_14-05-20,2,1163.6666666666667,86.15038530899841,0.39409288794965974,0.07644129378646969
79,bum_1d,M4_1d-post-injury_morning_14-05-20,3,1221.6666666666667,95.88216147380538,0.4896482259400672,0.07519746133325601
80,bum_1d,M4_1d-post-injury_morning_14-05-20,4,437.4166666666667,76.3767616636253,0.5246035703021701,0.15383634000996466
81,bum_1d,M4_1d-post-injury_morning_14-05-20,5,1128.6666666666667,169.73328750981312,0.4778955571094256,0.09381888177907191
82,bum_1d,M4_1d-post-injury_morning_14-05-20,6,781.0,90.83226299063566,0.5735347356285573,0.08113077745176397
83,bum_1d,M4_1d-post-injury_morning_14-05-20,7,681.4166666666666,48.27259114192603,0.5425229247901018,0.0804853682722898
84,bum_1d,M4_1d-post-injury_morning_14-05-20,8,720.5,96.48013612483487,0.44216382332172,0.028710564276600316
85,bum_1d,M4_1d-post-injury_morning_14-05-20,9,917.75,155.7193656336081,0.542303897693355,0.07079698232076799
86,bum_1d,M4_1d-post-injury_morning_14-05-20,10,1004.25,103.56569975946026,0.5187625939733186,0.09733344580488662
87,bum_1d,M4_1d-post-injury_morning_14-05-20,11,895.1666666666666,89.65845687323025,0.5915584721661079,0.06858559329282658
88,bum_1d,M4_1d-post-injury_morning_14-05-20,12,832.25,117.73071321169057,0.5420606660618201,0.05472922200153609
89,bum_1d,M4_1d-post-injury_morning_14-05-20,13,887.0,48.249352327259274,0.43435690021533674,0.06109604427493142
90,bum_1d,M4_1d-post-injury_morning_14-05-20,14,1864.6666666666667,540.2097329330114,0.27098622003407424,0.1541205770901936
91,bum_1d,M4_1d-post-injury_morning_14-05-20,15,1303.25,78.33275709007907,0.49357361802506544,0.043864420126762116
92,bum_1d,M4_1d-post-injury_morning_14-05-20,16,1102.5833333333333,67.50612112163525,0.5199338309223055,0.03334603298253605
93,bum_1d,M4_1d-post-injury_morning_14-05-20,17,493.0,85.24963343029692,0.47318127756980993,0.10899329488075463
94,bum_1d,M4_1d-post-injury_morning_14-05-20,18,858.4166666666666,210.56846010000856,0.6179449170407453,0.09099412031383722
95,bum_1d,M4_1d-post-injury_morning_14-05-20,19,1088.25,67.86030381108924,0.46228996240200326,0.11975391509981897
96,bum_1d,M4_1d-post-injury_morning_14-05-20,20,879.75,95.5371873495691,0.5446315281918793,0.07196050119265722
97,bum_5d,M4_5d-post-injury_morning_18-05-20,0,1041.4444444444443,88.60914313384133,0.6227997004437399,0.0666451082583835
98,bum_5d,M4_5d-post-injury_morning_18-05-20,1,2009.6666666666667,141.30424228907245,0.3508350418321712,0.04542470893556812
99,bum_5d,M4_5d-post-injury_morning_18-05-20,2,810.5555555555555,93.13205810521734,0.5759165413310295,0.0529847587938271
100,bum_5d,M4_5d-post-injury_morning_18-05-20,3,776.8888888888889,95.35715838006598,0.5779461989181429,0.11427067890390433
101,bum_5d,M4_5d-post-injury_morning_18-05-20,4,1368.3333333333333,122.3619403427571,0.6067676949257359,0.07557221834977823
102,bum_5d,M4_5d-post-injury_morning_18-05-20,5,773.3333333333334,77.9487010796203,0.7555797133058684,0.04561351533685795
103,bum_5d,M4_5d-post-injury_morning_18-05-20,6,713.0,71.73562573784382,0.6306835775226499,0.08449024568852409
104,bum_5d,M4_5d-post-injury_morning_18-05-20,7,580.1111111111111,57.347758736490874,0.6065979394425418,0.07509786406939135
105,bum_5d,M4_5d-post-injury_morning_18-05-20,8,823.6666666666666,73.76388758133014,0.6775130780131162,0.2458259577037132
106,bum_5d,M4_5d-post-injury_morning_18-05-20,9,1205.2222222222222,144.9082297929569,0.5705575185822944,0.038668709692167756
107,bum_5d,M4_5d-post-injury_morning_18-05-20,10,1125.888888888889,105.34329535638807,0.5508996661941497,0.10281143921678647
108,bum_5d,M4_5d-post-injury_morning_18-05-20,11,697.1111111111111,70.9247558166704,0.7470967809902344,0.1187427874783075
109,bum_5d,M4_5d-post-injury_morning_18-05-20,12,883.8888888888889,109.91152446343625,0.5426819518491834,0.0691490808961331
110,bum_5d,M4_5d-post-injury_morning_18-05-20,13,724.7777777777778,97.62374230548835,0.6040654891023962,0.08565873534062154
111,bum_5d,M4_5d-post-injury_morning_18-05-20,14,1068.3333333333333,161.18657236603522,0.5462010765843914,0.10340845056917773
112,ctrl_1d,M64_1d-post-injury_evening_23-01-20,0,2044.4,303.0515467705123,0.5645479848741992,0.11449901697978783
113,ctrl_1d,M64_1d-post-injury_evening_23-01-20,1,951.4,102.47848554696736,0.6676334457136459,0.06866789705856435
114,ctrl_1d,M64_1d-post-injury_evening_23-01-20,2,1740.0,142.89856542317,0.5587678375859962,0.08481260462422748
115,ctrl_1d,M64_1d-post-injury_evening_23-01-20,3,1468.2,180.00488882249837,0.6248058905352305,0.06667678100898433
116,ctrl_1d,M64_1d-post-injury_evening_23-01-20,4,839.0,141.6093217270671,0.5900381905725349,0.04104893886384641
117,ctrl_1d,M64_1d-post-injury_evening_23-01-20,5,1161.2,140.04913423509623,0.7091338560609127,0.085941540692732
118,ctrl_1d,M64_1d-post-injury_evening_23-01-20,6,1681.0,469.2687929108434,0.5534694176233164,0.06064735350031717
119,ctrl_1d,M64_1d-post-injury_evening_23-01-20,7,838.0,320.42721482420933,0.7212614930559765,0.02054574396087097
120,ctrl_1d,M64_1d-post-injury_evening_23-01-20,8,868.4,189.27715128879134,0.8288115398285032,0.12960479664522104
121,ctrl_1d,M64_1d-post-injury_evening_23-01-20,9,1328.6,144.932536029699,0.6546673772095646,0.05557944361991192
